UID;Name;Position;Age;Height;Weight;Inf;Club;Division;Nat;2nd Nat;Home-Grown Status;Personality;Media Handling;Wage;Transfer Value;Asking Price;Preferred Foot;Yel;xG;Starts;Red;PoM;Pen/R;Pens S;Pens Saved Ratio;Pens Saved;Pens Faced;Pens;Mins;Gls/90;Conc;Gls;Fls;FA;xG/90;xG-OP;xA/90;xA;Con/90;Clean Sheets;Av Rat;Mins/Gl;Ast;Hdrs A;Apps;Tck/90;Tck W;Tck A;Tck R;Shot/90;Shot %;ShT/90;ShT;Shots Outside Box/90;Shts Blckd/90;Shts Blckd;Shots;Svt;Svp;Svh;Sv %;Pr passes/90;Pr Passes;Pres C/90;Pres C;Pres A/90;Pres A;Poss Won/90;Poss Lost/90;Ps C/90;Ps C;Ps A/90;Pas A;Pas %;OP-KP/90;OP-KP;OP-Crs C/90;OP-Crs C;OP-Crs A/90;OP-Crs A;OP-Cr %;Off;Gl Mst;K Tck/90;K Tck;K Ps/90;K Pas;K Hdrs/90;Int/90;Itc;Sprints/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Goals Outside Box;xSv %;xGP/90;xGP;Drb/90;Drb;Dist/90;Distance;Cr C/90;Cr C;Crs A/90;Cr A;Cr C/A;Conv %;Clr/90;Clear;CCC;Ch C/90;Blk/90;Blk;Asts/90;Aer A/90
2000032623;Jack Milne;D (RC), WB (R), DM;23;193 cm;84 kg;Ctr;Aberdeen;William Hill Premiership;SCO;;;;Scouting Required;€4,700 p/m;€4.5K - €45K;;Right;7;1,38;26;0;0;;0;;;;0;2618;0.03;;1;27;12;0,05;-0,38;0,05;1,33;;;6,72;0.00;1;267;26 (11);1.13;33;44;75%;0.48;21%;0.10;3;0.14;0.48;14;14;;;;;4,26;124;1,41;41;3,85;112;11,93;4,26;47,85;1392;56,72;1650;84%;0,69;20;0.31;9;1.17;34;76%;3;0;0,24;7;0.69;20;1,1;1.51;44;6,12;75%;6.84;199;2.34;0;;;;0.17;5;0.0km;321.6km;0.38;11;1.51;44;26%;7%;1,65;48;6;0.26;0.58;17;0.03;9.18
37055443;Mats Knoester;D (C);27;188 cm;76 kg;;Aberdeen;William Hill Premiership;NED;;;;Scouting Required;€5,500 p/m;€40K - €375K;;Left Only;5;0,9;38;0;3;;0;;;;0;3457;;;0;21;12;0,02;-0,9;0,06;2,41;;;6,84;;1;276;38 (3);1.12;43;51;84%;0.23;22%;0.05;2;0.08;0.81;31;9;;;;;3,2;123;1,12;43;2,76;106;14,34;2,89;57,3;2201;62,69;2408;91%;0,21;8;0.00;0;0.23;9;0%;2;0;0,31;12;0.21;8;0,86;1.46;56;4,84;64%;4.61;177;2.58;0;;;;0.05;2;0.0km;421.4km;0.00;0;0.23;9;;;1,48;57;3;0.12;0.81;31;0.03;7.19
2000164806;Peter Ambrose;ST (C);23;182 cm;79 kg;Wnt;Aberdeen;William Hill Premiership;NGA;;;;Scouting Required;€3,100 p/m;€60K - €600K;;Right;0;3,12;11;0;1;;0;;;;0;1389;0.52;;8;17;24;0,2;4,88;0,03;0,53;;;6,71;0.00;1;151;11 (20);1.04;16;23;70%;2.14;61%;1.30;20;0.58;0.00;0;33;;;;;0,71;11;1,36;21;7,39;114;0,91;17,24;19,18;296;22,48;347;85%;0,58;9;0.00;0;0.32;5;0%;7;0;0,0;0;0.58;9;0,06;0.84;13;6,67;38%;3.69;57;6.09;0;;;;0.52;8;0.0km;185.5km;0.00;0;0.32;5;;24%;0,39;6;1;0.07;0.13;2;0.06;9.78
62201319;Ester Sokler;ST (C);26;187 cm;76 kg;Wp;Aberdeen;William Hill Premiership;SVN;;;;Scouting Required;€10,250 p/m;€0;;Right;2;6,29;31;0;0;;0;;;;0;2178;0.17;;4;25;52;0,26;-2,29;0,1;2,42;;;6,59;0.00;0;249;31 (3);1.03;25;36;69%;2.27;42%;0.95;23;0.66;0.00;0;55;;;;;1,03;25;1,45;35;7,44;180;2,15;21,28;18,97;459;22,27;539;85%;0,83;20;0.08;2;0.62;15;22%;15;0;0,0;0;0.83;20;0,12;0.95;23;6,61;31%;3.18;77;7.11;2;;;;0.99;24;0.0km;285.1km;0.08;2;0.62;15;13%;7%;0,45;11;6;1.43;0.12;3;;10.29
47090280;Kristers Tobers;D (C), DM;25;190 cm;75 kg;;Aberdeen;William Hill Premiership;LVA;;;;Scouting Required;€6,000 p/m;€110K - €1.1M;;Right;4;0,47;29;0;1;;0;;;;0;2377;0.04;;1;29;11;0,02;0,53;0,04;1,12;;;6,88;0.00;1;133;29 (6);2.08;55;61;90%;0.23;17%;0.04;1;0.08;0.64;17;6;;;;;4,01;106;2,08;55;6,78;179;12,91;5,79;47,67;1259;52,18;1378;91%;0,72;19;0.08;2;0.19;5;133%;2;0;0,19;5;0.72;19;0,61;1.44;38;8,37;62%;3.14;83;1.89;0;;;;0.34;9;0.0km;320.5km;0.08;2;0.19;5;40%;17%;1,29;34;3;0.59;0.49;13;0.04;5.04
61041831;Nicky Devlin;D (RC), WB (R);32;183 cm;79 kg;;Aberdeen;William Hill Premiership;SCO;;;;Scouting Required;€19,000 p/m;€14K - €130K;;Right Only;3;3,35;29;1;1;;0;;;;0;2732;0.07;;2;36;27;0,11;-1,35;0,08;2,44;;;6,83;0.00;1;167;29 (5);2.57;78;101;77%;1.22;24%;0.30;9;0.59;1.09;33;37;;;;;4,32;131;2,34;71;8,14;247;12,32;14,76;38,28;1162;44,14;1340;87%;0,66;20;0.36;11;1.98;60;84%;1;0;0,1;3;0.66;20;0,43;2.40;73;19,07;62%;3.39;103;2.11;1;;;;1.09;33;0.0km;393.1km;0.36;11;1.98;60;18%;5%;1,25;38;4;0.31;0.49;15;0.03;5.50
61013032;Graeme Shinnie;DM, M (C);34;175 cm;71 kg;;Aberdeen;William Hill Premiership;SCO;;;;Scouting Required;€8,250 p/m;€0 - €45K;;Left;7;3,03;35;2;2;;0;;;;0;2949;0.09;;3;42;11;0,09;-0,03;0,13;4,21;;;6,82;0.00;5;122;35 (2);2.14;70;99;71%;0.89;34%;0.31;10;0.40;0.06;2;29;;;;;3,69;121;2,87;94;11,11;364;11,41;14,28;37,17;1218;42,05;1378;88%;1,19;39;0.12;4;1.10;36;38%;5;0;0,09;3;1.19;39;0,18;1.74;57;11,41;39%;1.46;48;2.26;2;;;;0.73;24;0.0km;384.8km;0.31;10;1.74;57;11%;10%;0,92;30;9;0.47;0.24;8;0.15;3.72
2000065537;Topi Keskinen;M (RL), AM (RLC);23;180 cm;75 kg;Wnt;Aberdeen;William Hill Premiership;FIN;;;;Scouting Required;€6,000 p/m;€600K - €1.4M;;Right;0;1,68;33;0;0;;0;;;;0;2199;;;0;32;28;0,07;-1,68;0,05;1,28;;;6,69;;0;125;33 (7);1.92;47;48;98%;0.70;29%;0.20;5;0.16;0.00;0;17;;;;;1,84;45;2,41;59;11,83;289;2,99;18,54;26,32;643;30,94;756;85%;1,11;27;0.45;11;2.82;69;90%;9;0;0,04;1;1.11;27;0,0;1.60;39;12,28;27%;1.39;34;3.72;0;;;;2.95;72;0.0km;299.3km;0.45;11;2.82;69;15%;;0,78;19;5;0.84;0.41;10;;5.12
15089400;Kusini Yengi;ST (C);27;187 cm;91 kg;;Aberdeen;William Hill Premiership;AUS;SSD;;;Scouting Required;€3,300 p/m;€26K - €250K;;Right;3;2,11;4;0;0;;0;;;;0;734;0.25;;2;11;12;0,26;-0,11;0,17;1,36;;;6,57;0.00;1;70;4 (16);1.10;9;10;90%;3.07;36%;1.10;9;0.98;0.00;0;25;;;;;0,49;4;1,35;11;7,23;59;0,86;22,81;18,88;154;21,7;177;87%;0,37;3;0.00;0;0.12;1;0%;3;0;0,0;0;0.37;3;0,0;1.10;9;6,13;31%;2.70;22;5.89;0;;;;0.61;5;0.0km;94.7km;0.00;0;0.12;1;;8%;0,37;3;0;;0.25;2;0.12;8.58
22056581;Dimitar Mitov;GK;29;191 cm;76 kg;;Aberdeen;William Hill Premiership;BUL;ENG;Trained in nation (15-21);;Scouting Required;€18,500 p/m;€275K - €850K;;Right;1;0,0;49;0;2;;0;33%;1;3;0;4440;;52;0;1;31;0,0;0,0;0,0;0,0;1.05;14;6,72;;0;;49;0.02;1;3;33%;;;;;;;;0;20;74;50;-1%;0,0;0;0,0;0;0,0;0;3,2;6,1;15,97;788;23,11;1140;69%;0,0;0;;;;;;0;1;0,0;0;;0;0,0;;0;0,0;;;;;;-837%;0.28;13.62;;0;0.0km;268.5km;;;;;;;7,7;;0;;;;;
85086702;Anthony Martial;AM (RL), ST (C);30;181 cm;76 kg;;AEK;Stoiximan Super League;FRA;MTQ;;Fairly Ambitious;Outspoken;€80,500 p/m;€6.2M - €9.4M;;Right;2;17,47;36;0;0;20%;1;;;;5;3179;0.57;;20;29;101;0,49;2,53;0,05;1,75;;;6,8;0.00;0;271;36 (19);0.82;29;38;76%;2.83;55%;1.56;55;0.82;0.00;0;100;;;;;0,88;31;1,1;39;7,59;268;1,95;13,93;18,63;658;21,71;767;86%;0,82;29;0.03;1;0.31;11;17%;16;0;0,0;0;0.82;29;0,03;1.08;38;6,45;22%;1.70;60;5.97;3;;;;1.22;43;0.0km;410.3km;0.03;1;0.31;11;9%;20%;0,45;16;3;0.19;0.03;1;;7.67
85133797;Harold Moukoudi;D (C);28;191 cm;84 kg;;AEK;Stoiximan Super League;CMR;FRA;;Fairly Ambitious;Media-friendly;€124,000 p/m;€8.6M - €10.5M;;Right Only;3;3,32;34;0;3;;0;;;;0;3041;0.03;;1;26;12;0,1;-2,32;0,03;1,04;;;6,97;0.00;2;258;34 (4);1.27;43;58;74%;0.92;16%;0.15;5;0.27;0.80;27;31;;;;;3,94;133;1,54;52;3,79;128;15,69;3,11;55,55;1877;60,94;2059;91%;0,24;8;0.09;3;0.33;11;43%;1;0;0,41;14;0.24;8;1,18;1.63;55;5,83;72%;5.48;185;2.16;1;;;;0.21;7;0.0km;391.9km;0.09;3;0.33;11;27%;3%;1,15;39;4;0.25;0.47;16;0.06;7.64
43115047;Thomas Strakosha;GK;31;193 cm;78 kg;;AEK;Stoiximan Super League;ALB;GRE;;;Scouting Required;€65,500 p/m;Not for Sale;;Right;2;0,0;54;0;3;;0;0%;0;2;0;4860;;43;0;2;36;0,0;0,0;0,0;0,0;0.80;23;6,93;;0;;54;0.00;0;2;0%;;;;;;;;0;26;63;40;-1%;0,04;2;0,0;0;0,0;0;4,57;7,5;20,74;1120;28,85;1558;72%;0,0;0;;;;;;0;1;0,0;0;;0;0,0;0.02;1;0,0;;;;;;-807%;0.15;8.32;;0;0.0km;347.9km;;;;;;;0,94;;0;;;;;
16184704;Robert Ljubičić;D (L), DM, M (C);26;178 cm;75 kg;Ask;AEK;Stoiximan Super League;CRO;AUT;;;Scouting Required;€21,500 p/m;€475K - €9.8M;;Left;1;4,78;45;0;3;;0;;;;0;4336;0.04;;2;35;30;0,1;-2,78;0,1;4,93;;;6,89;0.00;6;185;45 (13);2.74;132;168;79%;0.64;35%;0.23;11;0.23;0.06;3;31;;;;;3,96;191;3,26;157;11,21;540;11,33;13,04;37,84;1823;43,65;2103;87%;1,12;54;0.15;7;1.31;63;27%;2;0;0,1;5;1.12;54;0,1;1.60;77;13,28;44%;1.68;81;2.16;0;;;;1.04;50;0.0km;605.9km;0.15;7;1.33;64;11%;6%;0,87;42;5;0.22;0.54;26;0.12;3.84
36035173;Petros Mantalos;M (C), AM (LC);34;176 cm;73 kg;Ret;AEK;Stoiximan Super League;GRE;;;;Scouting Required;€80,000 p/m;€0;;Right;3;4,81;36;0;0;;0;;;;0;2938;0.15;;5;31;30;0,15;0,19;0,23;7,57;;;6,81;0.00;7;157;36 (18);1.53;50;73;68%;1.26;37%;0.46;15;0.43;0.00;0;41;;;;;2,08;68;2,97;97;10,57;345;11,98;15,62;26,19;855;30,33;990;86%;1,04;34;0.12;4;1.07;35;62%;10;0;0,0;0;1.26;41;0,0;1.44;47;12,13;16%;0.77;25;4.04;0;;;;1.41;46;0.0km;425.6km;0.98;32;7.60;248;11%;12%;0,7;23;11;0.93;0.21;7;0.21;4.81
62096212;Mijat Gaćinović;M (C), AM (LC);31;175 cm;67 kg;;AEK;Stoiximan Super League;SRB;BIH;;;Scouting Required;€105,000 p/m;€0;;Right;6;5,81;26;0;2;;0;;;;0;2545;0.21;;6;21;27;0,21;0,19;0,2;5,73;;;6,86;0.00;6;134;26 (25);1.24;35;51;69%;1.91;43%;0.81;23;0.64;0.00;0;54;;;;;2,26;64;2,51;71;10,47;296;10,43;16,3;29,14;824;34,3;970;85%;1,31;37;0.07;2;0.71;20;50%;6;0;0,04;1;1.31;37;0,0;1.59;45;11,21;25%;1.20;34;3.54;1;;;;1.77;50;0.0km;364.2km;0.07;2;0.71;20;10%;11%;0,71;20;7;0.92;0.39;11;0.21;4.74
98035163;Dereck Kutesa;M/AM (RL);28;177 cm;76 kg;;AEK;Stoiximan Super League;SUI;ANG;;;Scouting Required;€41,500 p/m;€5.2M - €6.8M;;Right;0;0,55;5;0;0;;0;;;;0;482;;;0;5;3;0,1;-0,55;0,38;2,06;;;6,75;;1;19;5 (4);1.31;7;8;88%;0.93;40%;0.37;2;0.19;0.00;0;5;;;;;3,55;19;2,05;11;11,02;59;7,66;12,7;34,73;186;42,2;226;82%;1,31;7;0.00;0;0.75;4;0%;1;0;0,0;0;1.31;7;0,0;1.12;6;9,15;26%;0.93;5;2.61;0;;;;1.31;7;0.0km;62.7km;0.00;0;0.75;4;;;0,75;4;2;0.88;0.19;1;0.19;3.55
67052513;Jordi Alba;D/WB (L);37;170 cm;68 kg;;AEK;Stoiximan Super League;ESP;;;Fairly Ambitious;Outspoken;€129,000 p/m;Not for Sale;;Left;2;0,1;10;0;1;;0;;;;0;697;;;0;13;11;0,01;-0,1;0,11;0,82;;;6,74;;0;23;10;2.84;22;27;81%;0.13;0%;0.00;0;0.00;0.26;2;1;;;;;8,01;62;2,58;20;9,17;71;14,2;12,14;49,97;387;53,97;418;93%;0,77;6;0.52;4;2.45;19;31%;1;0;0,13;1;0.77;6;0,0;2.58;20;15,62;39%;1.16;9;1.81;0;;;;1.94;15;0.0km;99.7km;0.52;4;3.10;24;21%;;0,52;4;0;;0.26;2;;2.97
57113505;Răzvan Marin;DM, M (C);30;177 cm;70 kg;Int;AEK;Stoiximan Super League;ROU;;;;Scouting Required;€47,500 p/m;€13.5M - €17M;;Right;4;5,97;30;0;2;50%;1;;;;2;2841;0.16;;5;36;23;0,19;-0,97;0,16;4,96;;;6,91;0.00;5;140;30 (21);1.74;55;76;72%;1.62;39%;0.63;20;0.67;0.06;2;51;;;;;3,77;119;2,44;77;11,28;356;14,16;9,03;40,93;1292;46,44;1466;88%;1,3;41;0.13;4;0.82;26;54%;1;0;0,03;1;2.25;71;0,41;1.27;40;10,99;51%;2.28;72;2.15;1;;;;0.57;18;0.0km;409.7km;0.16;5;0.92;29;15%;10%;0,76;24;12;1.53;0.25;8;0.16;4.44
27023729;Jens Jønsson;DM, M (C);33;183 cm;78 kg;;AEK;Stoiximan Super League;DEN;;;;Scouting Required;€117,000 p/m;Not for Sale;;Right;6;2,4;46;0;3;;0;;;;0;3865;0.05;;2;53;23;0,06;-0,4;0,16;6,68;;;7,01;0.00;9;155;46 (7);2.21;95;137;69%;0.37;19%;0.07;3;0.05;0.09;4;16;;;;;4,54;195;2,77;119;9,92;426;14,88;4,96;45,41;1950;51,07;2193;89%;1,14;49;0.07;3;0.35;15;118%;0;0;0,14;6;1.14;49;0,33;2.00;86;11,9;55%;2.00;86;1.61;0;;;;0.58;25;0.0km;545.9km;0.07;3;0.35;15;20%;13%;0,93;40;20;1.51;0.47;20;0.21;3.61
36126363;Lazaros Rota;D/WB (R);28;180 cm;72 kg;;AEK;Stoiximan Super League;GRE;ALB;;;Scouting Required;€26,500 p/m;€22K - €220K;;Right;7;4,32;40;0;2;;0;;;;0;3678;0.02;;1;62;29;0,11;-3,32;0,11;4,61;;;6,94;0.00;4;220;40 (9);2.84;116;143;81%;0.78;28%;0.22;9;0.32;0.54;22;32;;;;;4,6;188;2,64;108;8,37;342;11,28;13,85;39,57;1617;46,25;1890;86%;0,83;34;0.29;12;2.57;105;35%;3;1;0,17;7;0.83;34;0,32;2.69;110;16,79;60%;3.23;132;2.15;0;;;;1.52;62;0.0km;505.5km;0.29;12;2.57;105;11%;3%;1,25;51;10;0.75;0.56;23;0.10;5.38
18101721;Aboubakary Koita;M (RL), AM (RLC), ST (C);27;174 cm;71 kg;Ask;AEK;Stoiximan Super League;MTN;BEL;;Balanced;Media-friendly;€27,000 p/m;€3.1M - €6.4M;;Right;2;9,36;26;0;0;;0;;;;0;2543;0.46;;13;38;63;0,33;3,64;0,06;1,78;;;6,78;0.00;2;237;26 (29);1.56;44;59;75%;2.62;54%;1.42;40;0.74;0.00;0;74;;;;;0,78;22;2,09;59;7,18;203;1,24;15,43;19,25;544;21,8;616;88%;0,5;14;0.11;3;0.85;24;34%;16;0;0,0;0;0.50;14;0,04;0.64;18;5,84;21%;1.73;49;6.65;0;;;;0.88;25;0.0km;317.4km;0.11;3;0.85;24;12%;18%;0,25;7;4;0.61;0.07;2;0.07;8.39
24003525;Domagoj Vida;D (C);37;184 cm;75 kg;;AEK;Stoiximan Super League;CRO;;;;Scouting Required;€126,000 p/m;€750K - €1.7M;;Right;10;3,31;38;0;4;;0;;;;0;3350;0.08;;3;32;5;0,09;-0,31;0,05;1,76;;;7,08;0.00;1;267;38 (3);1.05;39;53;74%;0.54;25%;0.13;5;0.19;0.64;24;20;;;;;3,41;127;1,05;39;3,12;116;15,82;2,66;50,83;1892;55,88;2080;91%;0,24;9;0.03;1;0.19;7;17%;0;0;0,27;10;0.24;9;0,91;2.04;76;4,94;76%;5.48;204;1.69;0;;;;0.03;1;0.0km;410.7km;0.03;1;0.19;7;14%;15%;1,24;46;5;0.26;0.56;21;0.03;7.17
62113639;Luka Jović;ST (C);28;181 cm;84 kg;Int;AEK;Stoiximan Super League;SRB;;;;Scouting Required;€47,500 p/m;€5.6M - €7.2M;;Right;1;9,84;27;0;3;100%;1;;;;1;2630;0.38;;11;35;67;0,34;1,16;0,15;4,48;;;6,84;0.00;2;244;27 (23);1.30;38;46;83%;2.94;53%;1.57;46;0.86;0.00;0;86;;;;;1,2;35;1,71;50;6,74;197;1,75;14,89;19,64;574;22,89;669;86%;0,82;24;0.14;4;0.75;22;39%;19;0;0,03;1;0.82;24;0,03;0.75;22;6,19;34%;2.81;82;5.54;1;;;;0.96;28;0.0km;343.6km;0.14;4;0.75;22;18%;13%;0,41;12;5;0.35;0.14;4;0.07;8.35
